,lbp_000,lbp_001,lbp_002,lbp_003,lbp_004,lbp_005,lbp_006,lbp_007,lbp_008,lbp_009,lbp_010,lbp_011,lbp_012,lbp_013,lbp_014,lbp_015,lbp_016,lbp_017,lbp_018,lbp_019,lbp_020,lbp_021,lbp_022,lbp_023,lbp_024,lbp_025,zernike_000,zernike_001,zernike_002,zernike_003,zernike_004,zernike_005,zernike_006,zernike_007,zernike_008,zernike_009,zernike_010,zernike_011,zernike_012,zernike_013,zernike_014,zernike_015,zernike_016,zernike_017,zernike_018,zernike_019,zernike_020,zernike_021,zernike_022,zernike_023,zernike_024,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135
26 (44).jpg,0.021197552447552448,0.011664117132867132,0.01087194055944056,0.010680725524475524,0.008987106643356644,0.010626092657342658,0.009670017482517482,0.011199737762237762,0.011390952797202798,0.012729458041958042,0.015078671328671328,0.02259069055944056,0.030211975524475524,0.025677447552447552,0.017427884615384616,0.012237762237762238,0.010134396853146854,0.008031031468531468,0.007512019230769231,0.006965690559440559,0.008795891608391608,0.00857736013986014,0.008741258741258742,0.00904173951048951,0.5067471590909091,0.18321131993006992,0.31830988618379075,0.07917763827581846,0.09730353585916014,0.12095660697699118,0.08662891628994374,0.11071416913142546,0.0705309290915816,0.018089612640970677,0.062011719565856376,0.09049156411954555,0.059367909850220675,0.08404008101386622,0.023033556115633364,0.04608959125222589,0.004547020056772369,0.041221459665356126,0.07881733287162698,0.10932467594915349,0.03270374674006069,0.07963294937494089,0.025122689240811773,0.05265939154964682,0.025566382263726792,0.016908252385527796,0.03944982387222354,26.051900584783567,27.535282717720584,23.284370801622426,27.46654126765168,0.8451019230411252,0.8338096317714403,0.8680526355449196,0.8328310328432048,0.469254977974127,0.4592305480409897,0.47805552636979654,0.45980025564055826,2308.3270917668,2486.6304149550683,1963.5940998665226,2501.272742816422,0.19675830279993725,0.18818852559210117,0.2009810885443103,0.18786832024078232,0.44357446139282775,0.43380701422648893,0.4483091439445668,0.43343779281551154
26 (45).jpg,0.018957604895104896,0.012510926573426574,0.012155812937062938,0.010817307692307692,0.010434877622377622,0.010216346153846154,0.01057145979020979,0.01141826923076923,0.01240166083916084,0.01409527972027972,0.017018138111888112,0.025458916083916084,0.0354840472027972,0.029255900349650348,0.020569274475524476,0.012647508741258742,0.010079763986013986,0.009615384615384616,0.009506118881118882,0.008604676573426574,0.009451486013986014,0.010680725524475524,0.009014423076923076,0.006801791958041958,0.50390625,0.15832604895104896,0.31830988618379064,0.04363999999907716,0.10132119344418537,0.07804658129328196,0.03442065121265003,0.05635885750624943,0.03179736367213787,0.0139433543036445,0.015962363745823577,0.016198187099308488,0.04916130810783776,0.038566071767439744,0.012476659681368752,0.03397812434669688,0.010107572861580176,0.03112131829105125,0.024533368247902965,0.02649977945634202,0.05781195396084995,0.01932333766293272,0.006115697542257163,0.002389346052734809,0.015545619965536975,0.0655923584979864,0.052693102946305526,25.578891138090352,27.35687414498911,22.78403493059728,27.002963976270916,0.8662167473237612,0.8551902472215512,0.8864810030698662,0.8550132941091649,0.46933001650344874,0.45812978930105097,0.47911866392860514,0.45919242888908535,2232.5030926665363,2424.919858639572,1892.0719323788555,2427.8830369341513,0.19543103178369056,0.18684741427072135,0.19991786790255142,0.18662961007522758,0.44207582130635753,0.43225850398889937,0.4471217595941305,0.4320064930938279
26 (46).jpg,0.019640515734265736,0.012073863636363636,0.012620192307692308,0.011909965034965034,0.011746066433566434,0.011281687062937062,0.010462194055944056,0.010817307692307692,0.011554851398601398,0.013221153846153846,0.016362543706293708,0.023218968531468532,0.034063592657342656,0.02911931818181818,0.018438592657342656,0.01477819055944056,0.010981206293706294,0.009478802447552448,0.009096372377622378,0.009096372377622378,0.01048951048951049,0.010325611888111888,0.009615384615384616,0.007156905594405594,0.5049715909090909,0.1574792395104895,0.3183098861837907,0.059092043139159216,0.05546916124885498,0.08273653621847722,0.08155978783468117,0.06986432460213086,0.0050067381514296684,0.038171140103077955,0.031508403674575094,0.09202502086501953,0.03369463710328827,0.03322592698043079,0.01702239896840178,0.022113738070017985,0.022760113767340953,0.013398141791765098,0.1286407825023298,0.07236540687316985,0.07843479204370665,0.08206605842218175,0.013007454770875391,0.04507906118351222,0.028619254651559123,0.024428936842119397,0.03866754323002121,16.085638776423405,16.845816233465534,14.6442006269618,16.902530779749114,0.8449335667171449,0.8365261175855488,0.8632340622010648,0.8342259511998963,0.48151618461882123,0.46899650543291754,0.49107770116005983,0.47214892196077746,877.3313652718944,928.8095645232311,772.6772839231322,941.878419972385,0.19757234014454875,0.1886319172442194,0.201204162366624,0.18865611703352347,0.4444911024357504,0.4343177606824517,0.448557869584989,0.43434561933271926
26 (47).jpg,0.02054195804195804,0.01201923076923077,0.01286604020979021,0.012620192307692308,0.010462194055944056,0.010134396853146854,0.009287587412587412,0.010243662587412588,0.011664117132867132,0.01409527972027972,0.015898164335664336,0.021498033216783216,0.029447115384615384,0.025677447552447552,0.019394667832167832,0.013303103146853146,0.010462194055944056,0.00980659965034965,0.00819493006993007,0.009178321678321678,0.008795891608391608,0.008358828671328672,0.010052447552447552,0.008823208041958042,0.5053267045454546,0.17184768356643357,0.31830988618379064,0.03631583120671253,0.06651539905049739,0.06332550877198201,0.03192485237277602,0.011245475173431434,0.03886900667526863,0.019393675755596706,0.008913462178881459,0.12840034407519801,0.03335261695261322,0.019744773459438984,0.02879119383276852,0.05330061192673782,0.02604366177669123,0.037772980764634305,0.10341166652352624,0.054248760622224695,0.03993249008403146,0.09597845996842809,0.05606418214546772,0.031108996866547604,0.028430545553831007,0.010113987347890313,0.0316185474644702,25.123313090406327,27.076037391683084,22.9786162113852,26.476288189676616,0.8393205853970529,0.8175934774881471,0.8503785586439525,0.8258559710117458,0.46665195077449834,0.4572946749951644,0.47645772822207055,0.45665458286487415,2050.100371119131,2337.7216142255547,1906.1148678915843,2231.8295143623895,0.19579000873219254,0.18705641381708496,0.19955769782227595,0.18671416232288063,0.44248164790439903,0.4325001893838718,0.44671881292629256,0.4321043419393985
26 (48).jpg,0.021361451048951048,0.010762674825174826,0.011527534965034966,0.010981206293706294,0.010298295454545454,0.009506118881118882,0.009396853146853146,0.010844624125874126,0.011828015734265734,0.013576267482517482,0.016908872377622376,0.026169143356643356,0.034555288461538464,0.02980222902097902,0.019312718531468532,0.01409527972027972,0.010899256993006994,0.010243662587412588,0.008440777972027972,0.008085664335664336,0.008331512237762238,0.008413461538461538,0.008631993006993006,0.007539335664335664,0.5053813374125874,0.16310642482517482,0.3183098861837907,0.0807447564770262,0.07493497780753355,0.11245468691034766,0.06435344948370383,0.022540735290149414,0.01300776908805121,0.04295527841109766,0.00964831245204869,0.0842859739405841,0.04658678947375211,0.037921434289630074,0.05396798628166699,0.018247957441822553,0.006425485649266821,0.0008736337305992257,0.08790359409653314,0.05673776177487852,0.04464107021665062,0.06643319905370328,0.03762524926098352,0.035942932582235285,0.011130529570025006,0.006415796380635598,0.022950000673024325,26.272492127743703,28.06446648425018,24.425156739823205,27.831623346995453,0.8517739258072842,0.8362455929044228,0.8654997564233409,0.8391571603670502,0.4685753361730726,0.4582620282407386,0.47731386387740476,0.45859515255666755,2382.4592892476503,2642.1212380284237,2159.008732647632,2595.14409484558,0.19635654010843281,0.18786180366330082,0.20025381256751,0.18771484237319108,0.44312136047411754,0.4334302754345857,0.44749727660345595,0.4332607094731659
26 (49).jpg,0.022399475524475524,0.011227054195804196,0.01210118006993007,0.0118006993006993,0.010516826923076924,0.009888548951048952,0.010134396853146854,0.011117788461538462,0.011691433566433566,0.013576267482517482,0.015133304195804196,0.023929195804195804,0.02947443181818182,0.025677447552447552,0.019340034965034964,0.013275786713286714,0.011691433566433566,0.00942416958041958,0.008522727272727272,0.00887784090909091,0.008905157342657342,0.010216346153846154,0.008140297202797202,0.009396853146853146,0.5045072115384616,0.1690340909090909,0.31830988618379075,0.11919642905569573,0.00925683235773303,0.13949216768739253,0.056555906279718585,0.06357645234419275,0.05901494911651012,0.0030590706665031527,0.057624303692494036,0.05869563243697787,0.07080985548649478,0.038487693205685854,0.041737133873175264,0.03340179878783193,0.015873779423116425,0.03561171919804233,0.044140243306160565,0.06468019705658032,0.06039127716390717,0.03159515002288407,0.022258692466196647,0.009205400337184727,0.028009725023105676,0.07755826024105089,0.05212519167374835,24.64265632027772,27.159142726841925,24.03660994179273,27.199726402172367,0.8789700408552112,0.8592749438422574,0.8782618637889458,0.8569650231374372,0.46694672926246217,0.45611021707848415,0.47524153398324903,0.4565551897424272,2086.2305443085643,2432.5196648412625,2096.3784146896282,2472.448073413952,0.1955457065070925,0.18695942053524617,0.19977979905577217,0.18710634649304317,0.44220550257441676,0.4323880439318902,0.446967335557949,0.43255791114374864
26 (50).jpg,0.02122486888111888,0.012210445804195804,0.010598776223776224,0.009014423076923076,0.009779283216783216,0.009478802447552448,0.010598776223776224,0.010626092657342658,0.012893356643356644,0.014149912587412588,0.016007430069930068,0.02428430944055944,0.031823645104895104,0.026442307692307692,0.017619099650349652,0.013986013986013986,0.010817307692307692,0.009069055944055944,0.008468094405594406,0.00849541083916084,0.009396853146853146,0.009943181818181818,0.009369536713286714,0.007020323426573427,0.5048623251748252,0.17182036713286714,0.3183098861837905,0.027866473135391204,0.07959139259575905,0.07335371846676839,0.04786792386696615,0.05790910032180594,0.05187273037539995,0.07074794215915499,0.07041989595469812,0.027127239951181204,0.03519293997459476,0.018649132648615584,0.04168254194681216,0.01024460383624996,0.039609193465331746,0.03933324482287731,0.0379854956771475,0.06697162846361393,0.07535156156463027,0.032487500802653745,0.04426585822717443,0.057705241421370644,0.030327777083963565,0.006668799718423458,0.040969331069656896,26.02603463786555,26.83909028726105,22.971003134806423,27.336525307780523,0.863140563067858,0.8550563302516799,0.8836586126692225,0.8510771325685386,0.4721400686294143,0.4627216554649371,0.4817075084807663,0.4622995269483241,2375.526034636799,2525.084017326304,2016.8401813712576,2594.4061787489395,0.19711286264567182,0.18790309941706768,0.20064095309049762,0.18812177514286627,0.4439739436562374,0.43347791110628425,0.4479296296188695,0.4337300717530043
26 (51).jpg,0.020268793706293708,0.010626092657342658,0.010789991258741258,0.011828015734265734,0.012893356643356644,0.0116368006993007,0.010817307692307692,0.01218312937062937,0.013794798951048952,0.013931381118881118,0.017045454545454544,0.023929195804195804,0.03365384615384615,0.02870957167832168,0.020350743006993008,0.01363090034965035,0.012237762237762238,0.011309003496503496,0.01057145979020979,0.011117788461538462,0.010516826923076924,0.009178321678321678,0.008468094405594406,0.007593968531468531,0.5025404283216783,0.15037696678321677,0.3183098861837907,0.05655442593940293,0.08188394959577544,0.10755008428152997,0.05910032631875335,0.039422936170331,0.05225812461039353,0.029213619845811525,0.050943736192788726,0.01640762034624037,0.029612300975757136,0.05791044393549668,0.037741518810625915,0.014551874862960189,0.03807245919251623,0.0072024504298692695,0.010643862663085162,0.018587258216863464,0.06596846204501362,0.02260235537637503,0.049067962759242974,0.04104647482722033,0.035859606714609686,0.04267292464344812,0.03998495642159289,23.780982905971882,25.841997264005343,21.637035378424102,24.743844049232393,0.8725558192045199,0.8554903833521116,0.8870669423985386,0.8646063893206289,0.46559622489192876,0.4549038397247758,0.4746160638010659,0.4556879971721127,1837.9699730085854,2091.051812584169,1626.8125839684383,1959.1433538519445,0.196107891131625,0.1874436539005984,0.19975071030422203,0.1871990856835817,0.44284070627215943,0.4329476341321181,0.44693479424209304,0.4326650964471039
26 (52).jpg,0.01953125,0.012046547202797202,0.011117788461538462,0.009970498251748252,0.009506118881118882,0.010352928321678322,0.01095388986013986,0.012155812937062938,0.012319711538461538,0.014750874125874126,0.017018138111888112,0.025704763986013988,0.035757211538461536,0.02827250874125874,0.017564466783216784,0.012319711538461538,0.010243662587412588,0.008850524475524476,0.008331512237762238,0.008222246503496504,0.008522727272727272,0.00849541083916084,0.009369536713286714,0.007785183566433566,0.5065559440559441,0.16428103146853146,0.31830988618379064,0.03822095344645054,0.1000851055499117,0.0829073670307933,0.051820490686961096,0.06162517957982037,0.04121005724763395,0.06321199025332506,0.06652126766787235,0.035024014856060284,0.06572365877193245,0.04406386853936334,0.04164575015837733,0.029813924245773827,0.03235952694206987,0.03570977143009691,0.0561776207639717,0.08809677773957182,0.046107526926612415,0.06696749804561689,0.02166314921443086,0.0265316694675333,0.026233963231310997,0.019962309108618837,0.035137744236591245,26.5389113810043,27.669060647496718,24.13804299150255,28.128590971253242,0.845123738549457,0.8321556691841567,0.8585542085843011,0.8268076168037295,0.46806831270882393,0.4591392085583106,0.4787917438574507,0.45930534139246965,2273.638720196822,2474.4804491547816,2073.4725145553593,2553.325239396362,0.19735250904838997,0.18836377547259034,0.2011834747778496,0.1885325790340943,0.44424374958843255,0.43400895782528537,0.4485348088809269,0.434203384411147
26 (53).jpg,0.020596590909090908,0.011527534965034966,0.01240166083916084,0.01133631993006993,0.010025131118881118,0.009123688811188812,0.00934222027972028,0.010025131118881118,0.01240166083916084,0.01409527972027972,0.01740056818181818,0.024776005244755244,0.035046984265734264,0.03032124125874126,0.020787805944055944,0.014505026223776224,0.011227054195804196,0.008522727272727272,0.0078125,0.007785183566433566,0.007539335664335664,0.008167613636363636,0.008440777972027972,0.008249562937062938,0.5074027534965035,0.16113964160839161,0.31830988618379075,0.009108971800691604,0.06070346349615162,0.09743802171598065,0.0452856603213901,0.04553806667259594,0.08534198043984649,0.04451569462411447,0.06472522676404088,0.022948545012813352,0.07149768103831174,0.0645082225702357,0.02531174708770568,0.058722975982691286,0.026379509513430096,0.010908849904013865,0.036593188541474454,0.08127045139423972,0.0782522689624603,0.03622643163145259,0.031012432325826074,0.031688523041732204,0.02776470723022237,0.01991425967508764,0.055313756243081595,26.385008996839048,27.347412220684443,22.846339005832448,27.4274965800089,0.8201276715806373,0.8119543825786484,0.8544983681184715,0.8084219004947744,0.47103070253823454,0.4604955100993184,0.4797655974224448,0.4611019894351796,2320.1020580285626,2437.2493160038994,1873.7011867451326,2483.0336297292997,0.1973850583058246,0.18831895014292352,0.2012413929761325,0.1883911348638365,0.4442803825354261,0.43395731373364765,0.4485993680068358,0.4340404760662725
